branch number, first bus number, second bus number
1460,6897,77335
1461,6898,6900
1462,6898,7226
1463,6899,6905
1464,6899,7087
1465,6899,7090
1466,76862,6899
1467,6900,7228
1468,6901,6904
1469,6901,7229
1470,6904,6907
1471,6905,6915
1472,6907,7019
1473,6909,6910
1474,6909,7075
1475,6910,6913
1476,6913,6914
1477,6914,77254
1478,6919,6921
1479,77254,6919
1480,6921,6923
1481,6923,6925
1482,6923,6951
1483,6923,7052
1484,6925,6927
1485,6927,7052
1486,6929,7026
1487,6930,6945
1488,6930,7050
1489,6933,6948
1490,6933,7042
1491,6939,6943
1492,6943,6948
1493,6945,6958
1494,6948,6955
1495,6951,6955
1496,6953,6968
1497,76457,6955
1498,6958,6960
1499,6959,6960
1500,6959,6964
1501,6963,6973
1502,6963,7189
1503,6964,6972
1504,6966,6971
1505,76490,6966
1506,6968,6980
1507,6971,6975
1508,6972,6978
1509,6973,6980
1510,6975,6981
1511,6978,6987
1512,6980,7019
1513,6981,6983
1514,6983,6984
1515,6984,6989
1516,6985,6987
1517,6985,7003
1518,6989,6997
1519,6990,7252
1520,6990,7261
1521,76490,6990
1522,6997,7007
1523,7003,7004
1524,7004,7018
1525,7007,7010
1526,7010,7015
1527,7013,7015
1528,7013,7218
1529,7018,7026
1530,7019,77335
1531,7026,7207
1532,7042,7045
1533,7045,7191
1534,7048,7054
1535,7048,7062
1536,7050,7054
1537,7052,7055
1538,7055,7058
1539,7055,7061
1540,7058,7183
1541,7062,7185
1542,7072,7075
1543,7072,7077
1544,7077,7080
1545,7080,7087
1546,7080,7134
1547,7090,7131
1548,7096,7097
1549,7096,7127
1550,7097,7099
1551,7099,7102
1552,7100,7102
1553,7100,7106
1554,7100,7143
1555,7106,7108
1556,7119,7121
1557,7119,7128
1558,7127,7131
1559,7131,7136
1560,7134,7136
1561,7136,7137
1562,7137,7139
1563,7139,7183
1564,7143,7144
1565,7143,7149
1566,7143,7157
1567,7144,7175
1568,7149,7176
1569,7157,7158
1570,7164,7169
1571,7169,7212
1572,7172,7189
1573,7175,7177
1574,7176,7186
1575,7177,7179
1576,7179,7180
1577,7180,7185
1578,7180,7186
1579,7191,7193
1580,7193,7196
1581,7196,7205
1582,7200,7201
1583,7200,7212
1584,7201,7204
1585,7202,7203
1586,7202,7204
1587,7202,7216
1588,7203,7207
1589,7203,77335
1590,7205,7214
1591,7206,7244
1592,7214,7221
1593,7216,7217
1594,7217,7218
1595,7221,7227
1596,7225,7226
1597,7227,7228
1598,7227,7243
1599,7229,7348
1600,7238,7239
1601,7238,77335
1602,7239,7252
1603,7239,77335
1604,77335,7243
1605,7244,7248
1606,7252,7261
1607,7261,7266
1608,7261,7329
1609,7266,7269
1610,7269,7271
1611,7270,7272
1612,7271,7282
1613,7272,7274
1614,7274,7275
1615,7275,7276
1616,7276,7280
1617,7279,7280
1618,7279,7283
1619,7281,7282
1620,7283,7284
1621,7284,7287
1622,7286,7287
1623,7286,7301
1624,7287,7297
1625,7290,7304
1626,7293,7304
1627,7293,7313
1628,7297,7302
1629,7302,7303
1630,7313,7332
1631,7317,7382
1632,7317,7384
1633,77335,7348
1634,7359,7375
1635,76980,7359
1636,7375,7382
1637,76540,7413
1638,7416,8243
1639,77359,7433
1640,76487,7434
1641,7444,7457
1642,7451,7452
1643,7451,7470
1644,7453,7457
1645,7453,7458
1646,7458,7510
1647,7460,7465
1648,7460,7495
1649,7468,7469
1650,7469,7474
1651,7470,7486
1652,7470,7513
1653,7470,78036
1654,7471,7486
1655,7471,7495
1656,7474,7475
1657,7475,7477
1658,7477,7487
1659,7477,7536
